Level1,Level2,Level3,Level4,Federal,State,Local
Central-North,CN-3,05589,NULL,185604.3991,216770.8488,61147.3335
Central-North,CN-2,0594,NULL,96750.7438,100988.1242,34479.7526
Central,C-4,05136,NULL,173081.4898,230478.9318,69639.1246
North,N-4,05470,NULL,48502.8101,30296.5430,13056.5339
South-East,SE-1,05438,NULL,282223.4721,129526.6960,124787.0574
North,N-4,0581,NULL,261294.3525,275083.8958,88853.8386
Central,C-4,05647,NULL,48967.5816,0.0000,17053.5335
North,N-2,05464,NULL,54097.6575,87368.6386,17681.4005
South-East,SE-4,05441,NULL,67366.9718,91618.7059,26026.3812
Central,C-3,05283,NULL,112057.0183,83225.2588,34929.4954
Central-North,CN-6,05526,NULL,47665.2570,45513.7149,14376.8952
E-COMMERCE,YAHOO,05991,NULL,1942662.8386,835778.9650,417946.3632
North-East,NE-2,0514,NULL,84975.9342,93830.3437,30951.6196
South-East,SE-4,05309,NULL,30274.9815,25940.6949,16553.7242
Central-North,CN-3,05533,NULL,40291.0288,69555.9908,11342.7053
Central,C-4,05648,NULL,26619.0766,0.0000,8313.1047
South-East,SE-2,05447,NULL,47940.2857,51687.3332,14503.5243
North-East,NE-3,05466,NULL,151956.7004,158202.1540,48260.9817
Central,C-8,05279,NULL,55194.8993,64507.6204,12946.3617
North-East,NE-6,05236,NULL,76270.7608,56525.9613,24418.2571
Central-North,CN-3,05243,NULL,97479.4186,83695.5814,32670.6201
DUMMY,DUMMY,05986,NULL,NULL,NULL,NULL
North,N-1,05653,NULL,130734.0850,0.0000,43464.2477
North,N-4,05219,NULL,57388.0382,91648.7904,17376.6858
North,N-3,0534,NULL,56868.6676,85982.9519,17820.6389
North,N-1,05295,NULL,143363.1233,100898.2762,52617.7048
CLOSE,CLOSE,0548,NULL,NULL,NULL,NULL
Central-South,CS-4,05382,NULL,164891.5975,238217.5932,74999.1809
North,N-1,05628,NULL,0.0000,117604.8295,0.0000
CLOSE,CLOSE,05289,NULL,NULL,NULL,NULL
North,N-3,05540,NULL,42767.8387,51684.9713,14543.1533
North-East,NE-1,0525,NULL,193922.3065,173707.0964,52200.5333
North-East,NE-4,0546,NULL,114592.0567,87047.6684,34911.7433
DUMMY,DUMMY,05931,NULL,NULL,NULL,NULL
South-East,SE-5,0575,NULL,60657.3623,81596.0199,17166.6003
E-COMMERCE,WATSONS_PICK_UP,05993,NULL,76567.8567,49128.7814,27638.7623
NULL,,99990,NULL,NULL,NULL,NULL
North,N-1,05504,NULL,124796.6282,155539.9804,39381.0200
DUMMY,DUMMY,05916,NULL,NULL,NULL,NULL
Central-North,CN-1,05398,NULL,92514.3348,89817.1341,24077.0390
North,N-3,05200,NULL,132026.6180,152084.4951,38838.1426
DUMMY,DUMMY,05912,NULL,NULL,NULL,NULL
Central-North,CN-3,05621,NULL,76388.0966,35291.7999,35474.5438
Central,C-2,05404,NULL,39629.2190,37679.3150,13926.3620
CLOSE,CLOSE,05125,NULL,NULL,NULL,NULL
Central-South,CS-4,05613,NULL,25678.5146,34509.9817,7357.2288
Central,C-5,05482,NULL,80307.5995,86986.2291,32096.8096
North-East,NE-1,05298,NULL,53840.9244,40330.6862,21322.2861
North-East,NE-3,05498,NULL,116619.0221,110904.1917,38570.5815
Central-North,CN-5,05550,NULL,29791.5237,38935.5994,11728.0765
Central-North,CN-5,05555,NULL,46660.3811,47547.6862,24968.3621
CLOSE,CLOSE,05365,NULL,NULL,NULL,NULL
Central-North,CN-8,05477,NULL,63159.2295,79662.5337,23063.0199
North,N-4,0583,NULL,31173.9054,46055.9337,8439.5909
North-East,NE-7,05284,NULL,56517.2105,64257.2768,18613.1054
Central-North,CN-6,05209,NULL,66378.3838,94916.4007,26098.7247
Central-North,CN-3,05280,NULL,71144.6034,84215.5430,14037.2195
North,N-1,05333,NULL,105505.0250,97029.4480,33147.5250
Central-South,CS-3,05412,NULL,58502.4867,41249.5530,26838.1153
North-East,NE-7,05153,NULL,87723.2278,94663.9901,20689.0480
Central,C-7,05157,NULL,96293.7440,98979.7050,38263.9720
Central-South,CS-4,05364,NULL,50515.3618,101697.6672,17462.0002
Central,C-1,05569,NULL,117098.6098,56017.4006,24183.9817
South-East,SE-1,05117,NULL,106670.1906,91302.9630,38033.3336
North-East,NE-1,05383,NULL,130966.5733,104544.6200,45303.9252
Central,C-1,05597,NULL,32839.2769,37834.0565,14179.0199
DUMMY,DUMMY,05886,NULL,0.0000,0.0000,0.0000
South-East,SE-6,05240,NULL,36318.6572,47618.9241,12123.9049
Central,C-8,05453,NULL,32074.7627,40814.9712,15078.8004
Central-North,CN-4,05340,NULL,95053.4388,87950.7043,27028.4292
Central,C-5,05251,NULL,87677.1048,120448.9329,31744.3904
North,N-4,05172,NULL,65978.9725,76462.7427,17478.7724
Central-North,CN-6,05517,NULL,48751.2386,51107.5421,14834.8959
Central-North,CN-3,05576,NULL,51126.2771,58323.9435,17983.0290
North-East,NE-5,05300,NULL,85331.2245,80677.3711,27793.3341
North,N-3,05220,NULL,60741.5356,77685.6766,22681.2204
CLOSE,CLOSE,05392,NULL,NULL,NULL,NULL
North-East,NE-4,05624,NULL,32279.1342,29447.0004,12436.9526
North,N-3,05487,NULL,28278.4288,29579.9899,7380.1526
Central,C-1,05475,NULL,67968.6869,102495.7726,26752.4103
North-East,NE-1,05496,NULL,46907.7666,49828.1523,13163.6288
North-East,NE-6,05171,NULL,131426.7832,163577.1348,38248.6589
Central,C-5,05625,NULL,47894.1346,54423.8094,16542.9816
Central-South,CS-1,05336,NULL,42972.1004,61853.4095,18659.9434
South-East,SE-6,05444,NULL,49709.6493,25591.3525,13937.4861
North,N-2,0545,NULL,138912.6595,155457.7721,41817.6957
North-East,NE-1,05633,NULL,53206.6285,55712.3811,15579.7339
South-East,SE-6,05530,NULL,51785.5861,49431.2761,18679.8673
CLOSE,CLOSE,05293,NULL,NULL,NULL,NULL
South-East,SE-5,05121,NULL,26598.6147,34059.4477,6258.9053
South-East,SE-2,05380,NULL,72587.1049,118072.7239,30597.6002
North-East,NE-4,05286,NULL,76395.4414,75815.4948,26926.4103
Central,C-6,05608,NULL,41438.9815,65569.4672,15403.8002
Central-North,CN-8,05111,NULL,55203.7622,53285.2578,13720.0382
Central-North,CN-8,05285,NULL,58945.1058,70830.9626,21039.7819
North,N-2,05554,NULL,0.0000,0.0000,0.0000
Central-North,CN-4,05583,NULL,45785.8670,45766.4387,14732.8862
CLOSE,CLOSE,05252,NULL,NULL,NULL,NULL
Central-North,CN-5,05342,NULL,44902.7138,58788.0473,17839.9239
North,N-1,0519,NULL,70919.8528,85924.6772,18905.0674
Central,C-8,05343,NULL,49801.9433,81590.7149,16068.7626
Central,C-3,0584,NULL,122673.6901,102641.3814,44095.6573
North-East,NE-1,05418,NULL,45775.9997,47282.8772,15405.2571
Central-North,CN-2,05257,NULL,51887.0149,63884.0767,13833.0863
South-East,SE-2,05144,NULL,71374.5144,70365.2388,25254.4193
Central,C-7,05497,NULL,62359.3695,79724.3998,18004.1814
North-East,NE-7,05612,NULL,43976.3237,25384.8481,12625.7810
South-East,SE-3,05635,NULL,40471.0294,37698.7912,17006.7527
North,N-1,05616,NULL,63091.0584,76856.1047,18501.9522
Central-South,CS-2,05578,NULL,22965.5807,20234.7524,8197.0097
Central-North,CN-1,05596,NULL,45824.4441,57966.5902,11682.5057
Central-North,CN-2,05619,NULL,42458.8722,40611.4189,13199.5623
Central-North,CN-1,05592,NULL,32267.8817,34861.4863,9285.4670
North-East,NE-1,05367,NULL,75413.8193,55223.7905,27843.5909
South-East,SE-3,05629,NULL,67232.1400,71195.4964,21653.4552
Central,C-6,05426,NULL,32394.5909,31862.3999,14927.4193
